MS SubClass,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Gr Liv Area,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Wood Deck SF,Pool Area,Mo Sold,Yr Sold,SalePrice,Bathrooms,Porch SF,Total SF
50,10284,4,7,1925,1993,1281,1,6,0,0,0,8,2007,128500,2,0,1281
50,8520,5,4,1952,1952,1385,4,6,0,0,0,6,2010,166000,2,0,1385
30,10800,4,7,1885,1995,1047,2,6,0,0,0,8,2007,100000,1,0,1047
20,7360,7,5,2010,2010,1222,2,6,0,0,0,3,2010,187000,2,54,1222
60,7050,7,5,2001,2001,1929,3,7,1,0,0,5,2007,226000,3,235,1929
70,11988,6,7,1934,1995,1660,3,6,1,0,0,8,2008,188700,2,0,1660
120,3628,7,5,2004,2004,1143,1,5,1,0,0,5,2006,176400,2,191,1143
20,9571,5,5,1956,1956,1073,2,5,0,0,0,2,2009,121500,1,0,1073
120,14963,8,5,1996,1996,1288,1,4,2,120,0,12,2008,245500,2,254,1288
20,11500,6,6,1966,1966,1643,2,6,1,339,0,3,2008,195000,2,0,1643
60,12665,8,5,2005,2006,2482,4,9,1,144,0,2,2007,281213,3,39,2482
20,8885,5,5,1983,1983,902,2,5,0,164,0,6,2006,131000,1,0,902
20,8899,7,5,2007,2007,1340,3,6,0,100,0,8,2007,181134,2,30,1340
160,2448,7,5,2003,2004,1626,2,6,0,0,0,10,2008,154000,3,27,1626
80,13014,6,5,1978,1978,1096,3,6,1,168,0,12,2008,157500,1,0,1096
70,3600,6,7,1917,2007,1288,3,5,1,0,0,5,2009,119000,1,103,1288
70,13132,5,5,1914,1950,1784,4,9,0,203,0,7,2006,138887,2,40,1784
120,6240,8,5,2006,2006,1324,2,6,1,192,0,12,2009,254000,2,38,1324
20,14115,6,7,1956,2004,1811,2,6,1,0,0,7,2006,230000,1,280,1811
50,17503,6,5,1948,1950,1458,3,6,1,192,0,1,2010,97500,1,0,1458
20,11824,8,5,2006,2006,1685,2,5,1,112,0,4,2007,253000,2,63,1685
20,11765,5,5,1957,1957,1797,3,7,1,0,0,6,2006,169000,2,0,1797
80,10200,6,5,1988,1989,1509,3,5,1,224,0,8,2008,175000,2,0,1509
60,8814,5,6,1968,1968,1464,4,7,0,0,0,6,2008,141000,2,40,1464
50,9350,4,6,1947,1979,1531,3,8,1,0,0,6,2010,127000,1,0,1531
50,3950,6,8,1926,2004,1224,3,5,0,0,0,12,2009,115000,1,116,1224
60,10400,7,6,1980,1988,2044,3,7,1,28,0,3,2008,185000,3,73,2044
90,11345,5,5,1948,1950,1920,4,10,0,0,0,7,2007,137000,2,0,1920
160,2117,6,5,2000,2000,1573,3,5,0,0,0,6,2010,177500,3,32,1573
20,11896,7,5,2008,2008,1346,3,6,1,100,0,5,2010,220000,2,48,1346
20,11664,7,5,2002,2002,1611,3,6,0,262,0,9,2009,250000,2,93,1611
30,8574,6,8,1916,2000,1232,3,6,1,0,0,10,2009,147500,1,180,1232
20,8010,6,9,1958,2007,951,2,6,0,0,0,9,2009,143500,1,42,951
50,9780,5,3,1934,1950,1112,4,6,0,0,0,3,2009,63000,2,0,1112
20,10650,5,6,1976,1976,894,3,5,0,365,0,2,2010,128200,1,0,894
60,11631,8,5,2004,2005,2373,4,9,1,120,0,6,2006,258000,3,46,2373
30,7392,5,7,1930,1995,912,2,5,0,0,0,5,2008,99500,1,90,912
90,7200,5,5,1980,1980,936,2,4,0,49,0,8,2007,140000,1,0,936
80,7134,5,5,1955,1955,1360,3,6,1,0,0,2,2007,130000,1,50,1360
50,11851,5,7,1948,2009,1633,3,7,1,0,0,6,2010,129000,1,226,1633
20,8298,8,5,2006,2007,1564,2,6,1,132,0,9,2007,267300,2,0,1564
20,9360,6,7,1968,2004,976,2,4,1,94,0,8,2006,157500,1,0,976
20,9764,5,7,1967,2003,894,3,5,0,0,0,5,2008,130000,1,0,894
60,15384,7,5,2004,2005,1490,3,8,1,100,0,2,2008,184000,3,75,1490
50,6240,5,7,1930,1992,1426,3,6,1,174,0,7,2007,131750,1,96,1426
60,8965,7,5,2003,2003,1489,3,8,1,0,0,6,2009,192000,3,75,1489
60,13159,7,5,2009,2009,1692,3,6,0,208,0,7,2009,224500,3,114,1692
20,20693,7,5,1971,1971,1696,3,7,2,0,0,2,2007,198000,2,146,1696
160,2179,6,5,1976,1976,1456,3,6,1,0,0,7,2006,144000,3,28,1456
70,7155,6,8,1926,1991,1461,3,6,1,0,0,7,2007,135000,1,116,1461
60,8340,6,6,1977,1977,1388,3,6,0,406,0,12,2006,157500,2,36,1388
20,7990,5,6,1975,1975,924,3,5,0,0,0,4,2008,110000,1,0,924
20,10140,6,6,1974,1999,1309,3,5,1,265,648,1,2006,181000,2,0,1309
50,12508,6,7,1940,1985,1750,4,7,0,245,0,7,2008,160000,2,156,1750
20,10637,8,5,2007,2008,1718,3,7,1,208,0,9,2009,297000,2,44,1718
20,7441,7,5,2006,2006,1486,3,7,0,0,0,6,2007,181000,2,32,1486
60,10207,7,6,2007,2007,1761,3,7,0,144,0,8,2007,227875,3,105,1761
50,4080,6,8,1935,1998,1378,3,6,0,54,0,6,2009,128900,1,40,1378
90,10530,6,5,1977,1977,1004,2,4,0,0,0,5,2006,135000,1,0,1004
60,8750,7,5,1996,1996,1716,2,7,1,0,0,7,2009,191000,3,120,1716
60,9938,7,5,1993,1994,1949,3,8,1,156,0,6,2010,236000,3,90,1949
50,8405,5,8,1900,1950,1367,4,7,0,0,0,4,2008,119000,1,242,1367
50,7010,5,5,1935,1950,1738,3,6,1,0,0,7,2008,153000,2,30,1738
50,8737,6,7,1923,1950,1635,3,6,1,0,0,5,2007,210000,2,182,1635
45,5500,4,6,1956,1956,882,1,4,0,0,0,4,2007,103200,1,0,882
20,14892,9,5,2006,2007,1746,3,7,2,201,0,10,2009,377500,2,39,1746
20,9100,5,6,1954,1954,1112,2,6,1,0,0,10,2009,144800,1,0,1112
160,2308,6,6,1976,1976,1548,3,7,1,48,0,7,2007,155000,3,0,1548
20,25485,6,4,1960,1960,1560,3,6,3,0,0,5,2007,201000,2,659,1560
50,10410,5,7,1916,1987,1656,3,8,0,0,0,8,2009,135000,3,140,1656
20,5400,5,7,1954,2000,833,2,4,0,0,0,8,2006,117000,1,0,833
80,9020,6,5,1964,1964,1350,3,6,0,176,0,6,2008,168500,2,0,1350
50,9490,6,7,1941,1950,1578,3,5,2,0,0,8,2006,133000,1,32,1578
60,11700,6,6,1968,1968,1416,3,7,1,0,0,5,2006,179900,3,288,1416
120,3435,7,5,2004,2005,1245,1,5,0,0,0,6,2008,178000,2,100,1245
20,10667,6,6,1971,1971,1587,3,7,1,0,0,3,2007,167300,2,44,1587
20,11457,6,5,1988,1988,1412,3,6,1,0,0,3,2009,175000,2,169,1412
20,10859,5,5,1994,1995,1097,3,6,0,392,0,6,2009,145000,2,64,1097
20,12878,7,5,2003,2004,1760,3,8,1,165,0,6,2009,269500,2,190,1760
20,9900,6,5,1967,1967,1691,2,5,0,0,0,4,2009,175000,1,327,1691
90,7840,6,5,1975,1975,1012,4,4,0,0,0,10,2006,127500,2,0,1012
160,2217,4,4,1970,1970,1092,3,6,0,238,0,8,2009,88000,2,0,1092
70,5280,4,7,1895,1950,1361,2,6,0,0,0,7,2008,89000,1,123,1361
30,4130,3,6,1935,2003,729,2,5,0,0,0,7,2008,52000,1,0,729
20,8450,7,5,2004,2004,1436,3,8,0,139,0,4,2008,210000,2,98,1436
20,9308,5,5,1965,1965,984,3,5,0,0,0,7,2006,126000,1,0,984
160,10762,6,6,1980,1980,1217,3,6,1,0,0,4,2009,120000,2,28,1217
120,4058,7,5,1998,1998,767,1,4,0,120,0,6,2007,133000,1,40,767
85,7540,6,6,1978,1978,912,2,5,1,0,0,6,2007,156000,1,192,912
20,10389,8,5,2003,2003,1978,3,8,1,188,0,5,2010,318000,3,25,1978
20,21750,5,5,1954,1954,988,2,4,0,0,0,2,2008,113000,1,0,988
60,12568,8,5,2007,2007,1818,3,8,1,196,0,8,2007,281500,3,104,1818
80,8923,7,5,1998,1998,1382,3,7,1,256,0,2,2009,177500,3,0,1382
70,24090,7,7,1940,1950,2403,4,10,2,56,0,6,2010,244400,2,318,2403
160,1733,6,6,1980,1980,1032,2,5,1,279,0,5,2009,115000,1,0,1032
30,13907,5,6,1940,1969,996,3,6,1,144,0,7,2008,108000,1,0,996
50,9000,6,6,1937,1950,1375,3,6,1,0,0,12,2007,141000,2,288,1375
80,10395,6,6,1978,1978,1032,3,6,1,0,0,7,2007,148000,2,0,1032
60,14215,8,5,2005,2006,2376,4,9,1,240,0,11,2006,325300,4,154,2376
80,7750,7,5,2000,2000,1430,3,7,1,180,0,4,2010,180000,3,0,1430
60,9771,6,5,1995,2002,2814,4,9,1,48,0,6,2008,260000,3,248,2814
20,8982,5,5,1977,1977,1040,3,5,0,0,0,1,2007,134900,2,0,1040
20,8281,5,5,1965,1965,864,3,5,1,0,0,12,2009,62383,1,236,864
20,7942,6,7,1953,1953,1040,3,6,0,0,0,6,2007,136000,1,0,1040
20,20062,7,7,1977,2001,1483,1,4,2,496,0,4,2010,270000,2,0,1483
60,7875,7,5,1996,1996,1553,3,6,0,0,0,8,2007,178750,3,44,1553
30,10020,1,1,1922,1950,904,1,4,0,0,0,3,2009,61000,1,0,904
30,19550,5,7,1940,2007,1518,2,5,2,0,0,1,2008,260000,1,39,1518
60,8000,6,5,1995,1996,1658,3,8,1,224,0,6,2008,188000,3,84,1658
20,9520,4,5,1953,1953,930,2,5,0,134,0,5,2008,99000,1,0,930
20,9375,4,5,1954,1954,1350,3,6,1,237,0,6,2006,146000,2,0,1350
120,3876,8,5,1978,1978,1226,1,4,1,133,0,7,2006,170000,1,60,1226
30,7404,4,6,1920,1950,861,2,5,0,0,0,11,2009,80000,1,128,861
20,13173,9,5,2006,2007,1652,2,6,2,404,0,11,2009,325000,2,102,1652
20,9000,8,5,2008,2008,1566,3,7,0,144,0,4,2010,262500,2,168,1566
50,6000,6,6,1939,1950,1412,4,6,1,45,0,5,2009,132500,1,0,1412
20,9017,7,5,1999,1999,1431,3,6,0,0,0,9,2009,192000,2,35,1431
150,1700,7,5,1980,1981,1700,2,7,0,188,0,4,2006,148400,3,236,1700
20,14781,8,5,2001,2002,1787,3,7,1,198,0,8,2006,275000,2,150,1787
20,11050,6,5,1968,1968,1740,4,8,1,25,0,10,2008,150000,2,192,1740
60,12438,6,5,1995,1995,1499,3,6,1,413,0,8,2006,187000,3,91,1499
50,9600,6,8,1950,2005,1668,3,6,0,0,0,9,2009,140000,2,0,1668
20,9808,7,5,2002,2002,1573,3,6,0,0,0,3,2009,227000,2,72,1573
60,9375,8,5,2003,2004,1992,3,9,1,140,0,8,2008,250000,3,45,1992
190,10382,6,5,1958,1958,1095,2,6,0,0,0,3,2006,140000,1,0,1095
50,8212,5,6,1941,1950,1298,3,6,2,84,0,9,2009,122000,1,0,1298
20,13072,6,5,2005,2006,1175,3,6,0,0,0,6,2008,146000,1,90,1175
160,1533,4,5,1970,1970,1092,3,5,0,0,0,12,2006,87550,2,0,1092
20,15523,5,6,1972,1972,864,3,5,1,0,0,8,2009,133500,1,0,864
20,10050,5,5,1955,1955,1216,3,5,0,0,0,8,2007,129500,1,0,1216
20,8089,8,6,2007,2007,1419,2,7,1,140,0,10,2007,392000,2,0,1419
80,7819,6,5,1976,1976,1117,3,6,1,144,0,3,2010,107000,1,0,1117
60,11002,8,5,1998,1999,2582,4,9,1,286,0,1,2007,322500,3,60,2582
20,10708,5,5,1955,1993,1867,2,7,3,476,0,11,2009,190000,1,142,1867
20,11670,9,5,2006,2006,1905,3,8,1,0,0,3,2007,320000,2,191,1905
30,5400,5,6,1920,1950,691,2,4,0,0,0,1,2007,86000,1,114,691
50,7585,5,3,1948,1950,1456,4,7,1,0,0,8,2006,91500,1,0,1456
20,6853,8,5,2001,2002,1296,2,6,0,192,0,6,2009,220000,2,25,1296
60,9600,7,5,1974,1974,2061,4,8,1,0,0,5,2009,168500,3,273,2061
60,11646,6,5,2005,2006,1422,3,7,1,36,0,7,2009,173000,3,28,1422
120,3869,5,6,1984,1984,1038,2,5,0,0,0,7,2007,130000,2,105,1038
30,5747,3,4,1920,1950,840,2,5,0,112,0,6,2006,64000,1,0,840
20,10872,9,5,2006,2006,1531,2,6,1,184,0,2,2009,300000,2,52,1531
20,10206,8,5,2008,2008,1658,3,7,1,144,0,9,2009,257500,3,44,1658
60,11218,6,5,1992,1992,1845,3,8,1,635,0,5,2010,189000,3,104,1845
60,8640,8,5,2007,2007,1792,3,8,0,184,0,11,2007,255000,3,96,1792
20,9533,5,5,1953,1953,1210,2,7,0,208,0,8,2009,102900,2,100,1210
20,7500,8,5,2006,2007,1448,2,6,1,0,0,6,2009,238500,2,140,1448
20,9000,2,3,1949,1950,480,1,4,0,0,0,10,2006,35311,0,0,480
60,14364,7,5,1988,1989,2062,3,7,1,60,0,4,2007,277000,3,209,2062
20,9254,8,5,2005,2005,1721,3,7,0,168,0,1,2007,232698,2,27,1721
50,6292,7,7,1928,1950,1477,3,6,1,0,0,8,2009,145000,2,50,1477
85,8410,6,6,1974,1974,1026,2,5,1,193,0,4,2007,143000,1,0,1026
30,5142,4,7,1923,2008,1292,3,6,0,0,0,6,2008,108000,2,183,1292
70,9000,4,6,1920,1950,864,3,5,0,0,0,6,2008,65000,2,190,864
20,8760,5,7,1956,1956,1144,3,6,0,257,0,6,2009,150000,1,0,1144
120,11064,8,5,1995,1995,1239,1,4,1,172,0,8,2008,217500,2,24,1239
80,10541,7,5,1996,1996,2037,3,8,1,100,0,2,2008,229000,3,33,2037
20,7314,7,5,2007,2007,1232,2,6,0,132,0,2,2009,194500,2,0,1232
120,5063,7,5,2007,2008,1314,2,6,1,172,0,4,2009,207500,2,62,1314
20,6285,5,5,1977,1977,894,2,5,0,192,0,3,2007,120750,1,0,894
20,9571,5,6,1956,1956,1509,3,6,1,158,0,7,2008,159900,1,576,1509
60,14541,8,7,1993,1993,2520,5,10,1,209,0,11,2006,310000,3,55,2520
70,8730,6,7,1915,2003,1396,3,7,0,0,0,7,2007,153575,1,259,1396
20,10367,9,5,2008,2008,1743,3,8,1,168,0,6,2009,335000,2,45,1743
20,13770,5,6,1958,1998,1176,3,6,2,0,0,10,2007,137000,1,0,1176
50,11275,6,7,1932,1950,1991,3,7,1,0,0,3,2007,220000,2,19,1991
20,10738,6,7,1966,1966,1093,3,6,1,224,0,11,2007,158500,2,0,1093
20,7635,5,6,1960,1960,1175,3,6,0,0,0,6,2010,148000,2,0,1175
60,14774,9,5,1999,1999,2599,4,10,1,668,0,5,2010,333168,3,30,2599
20,9600,5,6,1959,1959,1041,3,6,0,224,0,7,2009,124500,1,88,1041
20,7500,7,5,2004,2005,1221,2,6,0,0,0,10,2009,185000,2,113,1221
60,11075,5,4,1969,1969,1968,4,7,1,305,0,9,2008,172000,3,189,1968
120,7132,8,5,2006,2006,1370,2,6,1,120,0,4,2010,205000,2,49,1370
60,9084,7,5,1998,1998,1632,3,8,1,0,0,6,2006,176500,3,28,1632
20,7931,5,6,1960,1960,1269,3,6,1,0,0,6,2008,155000,2,0,1269
50,9576,6,7,1945,1950,1182,3,5,0,0,0,5,2006,120000,2,0,1182
120,7658,9,5,2005,2005,1752,2,6,1,196,0,2,2010,319900,2,82,1752
70,17671,8,9,1882,1986,1742,4,8,1,0,0,11,2009,168000,2,169,1742
60,9200,8,5,1998,1998,2630,4,8,1,0,0,6,2008,315000,3,66,2630
160,5105,7,5,2004,2004,1102,2,4,0,0,0,3,2007,148800,3,60,1102
50,11767,4,7,1910,2000,1346,2,6,0,168,0,5,2007,112000,2,24,1346
60,8029,6,5,2005,2005,1456,3,8,0,100,0,7,2008,176000,3,24,1456
20,12285,7,6,1960,1960,1329,3,5,2,0,0,8,2009,176000,2,203,1329
20,11778,9,5,2008,2008,2276,3,7,2,0,0,6,2008,475000,2,325,2276
60,8749,7,5,2003,2003,1932,3,7,1,0,0,6,2007,213000,3,120,1932
60,9627,7,5,1993,1994,2000,3,9,1,190,0,11,2006,188000,3,48,2000
20,9200,6,6,1965,1965,1136,3,5,1,426,0,7,2008,140000,1,0,1136
20,8450,5,6,1968,1968,1056,3,6,1,0,0,7,2010,142000,1,269,1056
90,10125,5,5,1977,1977,1734,4,8,0,0,0,8,2009,126000,2,0,1734
20,8700,5,6,1963,1963,1128,3,6,0,192,0,12,2008,155000,2,143,1128
20,10044,5,6,1968,1968,1196,3,6,0,257,0,6,2010,144000,1,168,1196
20,8814,7,5,2005,2007,1274,3,6,0,264,0,1,2007,203000,2,98,1274
20,9286,5,7,1977,1989,1268,3,5,0,173,0,10,2009,143500,2,0,1268
50,7550,4,5,1920,1950,1362,4,7,0,0,0,3,2007,96000,2,0,1362
60,8125,6,5,1994,1995,1481,3,6,1,0,0,3,2009,174000,3,36,1481
60,8125,7,6,2007,2007,1665,3,7,0,0,0,5,2008,205950,3,0,1665
60,10400,7,5,2001,2001,2161,3,8,1,0,0,6,2008,230500,3,84,2161
60,12852,8,5,2007,2007,1780,3,6,1,0,0,1,2008,264966,3,192,1780
90,8512,5,5,1960,1960,1556,4,8,0,0,0,9,2006,119000,2,0,1556
60,8857,6,5,2006,2006,1495,3,7,1,100,0,3,2007,171925,3,30,1495
120,3922,7,5,2006,2007,1402,2,7,1,120,0,2,2007,194201,2,16,1402
20,9120,6,6,1958,1958,1261,3,6,1,0,0,11,2008,163000,1,288,1261
20,8500,5,3,1961,1961,1235,2,6,0,0,0,12,2006,98600,1,0,1235
80,19645,7,6,1994,2007,1652,3,6,0,0,0,6,2010,203135,3,0,1652
20,13253,7,5,2006,2006,1578,3,7,1,0,0,5,2008,240000,2,26,1578
20,10420,6,5,2009,2009,1212,3,6,0,100,0,3,2010,186000,2,22,1212
160,3180,7,5,2005,2005,1200,2,4,0,0,0,4,2006,144152,3,166,1200
60,10382,7,6,1973,1973,2090,3,7,2,235,0,11,2009,200000,3,432,2090
70,8660,5,6,1900,1993,2168,5,11,0,467,0,12,2009,123000,2,238,2168
60,8314,7,5,1997,1998,1694,3,6,1,0,0,11,2006,200000,3,492,1694
120,2280,7,7,1976,1976,1055,2,4,0,0,0,4,2006,137500,2,29,1055
80,9802,5,5,2006,2007,1442,3,6,0,100,0,4,2008,172500,3,0,1442
120,5664,8,5,2000,2000,1659,2,5,1,212,0,10,2009,278000,2,59,1659
30,6000,6,6,1925,1980,1103,2,5,1,166,0,7,2006,110500,1,120,1103
60,9291,6,5,1993,1993,1710,3,7,0,144,0,6,2008,187000,3,70,1710
120,7296,8,5,2004,2005,2522,1,8,1,182,0,11,2009,375000,2,57,2522
80,14419,7,5,1987,1989,1479,3,7,1,224,0,7,2009,213500,3,238,1479
120,3982,8,5,2006,2006,1567,1,7,1,312,0,10,2006,264561,2,0,1567
20,8856,5,4,1957,1957,1176,3,6,2,0,0,5,2008,136500,1,183,1176
70,6402,5,5,1920,1950,1192,3,6,0,0,0,7,2009,78000,1,137,1192
90,8927,6,6,1977,1977,1654,4,10,0,0,0,8,2006,119500,2,0,1654
70,8146,4,8,1900,2003,1039,2,6,0,0,0,5,2009,114000,1,279,1039
60,11170,7,5,1990,1991,2514,4,8,0,0,0,4,2006,250000,3,0,2514
160,1680,6,5,1972,1972,987,2,5,1,0,0,6,2006,94500,2,0,987
160,2522,6,5,2004,2006,1709,3,7,0,0,0,4,2006,130000,2,40,1709
20,7740,9,5,2006,2006,1686,1,6,1,266,0,6,2006,332200,2,100,1686
20,13695,5,5,2004,2004,1114,3,6,0,0,0,6,2008,159000,2,102,1114
60,9591,8,5,2004,2005,2473,4,9,1,192,0,10,2007,317000,3,151,2473
50,10440,6,7,1920,1950,2792,5,8,2,0,0,6,2008,256000,2,1027,2792
20,6490,5,7,1983,1983,816,2,4,0,315,0,4,2008,128500,1,0,816
20,9353,4,5,1970,1970,864,3,5,0,0,0,7,2006,116050,1,0,864
20,10083,7,5,2003,2003,1200,2,5,0,0,0,8,2009,184900,2,41,1200
20,9278,5,5,2007,2008,1092,2,5,0,0,0,2,2008,146000,1,52,1092
60,11214,7,5,1998,1999,1886,4,10,1,89,0,7,2006,199900,3,0,1886
60,13128,8,5,2005,2005,2064,4,7,1,0,0,1,2006,250000,3,119,2064
20,12735,4,5,1972,1972,864,3,5,0,216,0,4,2008,111250,1,0,864
180,3675,6,5,2005,2006,1072,2,5,0,0,0,6,2006,140000,2,44,1072
20,13680,3,5,1955,1955,1733,4,8,1,0,0,6,2009,139600,2,0,1733
85,10205,5,5,1962,1962,999,3,6,0,150,0,5,2006,134500,1,72,999
20,9770,5,5,1957,1957,922,2,5,0,0,0,4,2007,116000,1,34,922
20,9855,6,5,1956,1956,1689,3,7,1,0,0,11,2009,127500,1,0,1689
60,8244,7,5,2004,2004,1720,3,7,1,100,0,5,2007,183500,3,48,1720
60,23257,7,5,2006,2006,2021,3,9,1,0,0,9,2006,274725,3,100,2021
20,50102,6,5,1958,1958,1650,2,6,2,0,0,3,2006,250764,1,138,1650
50,3500,5,7,1947,1950,1284,2,5,0,0,0,4,2009,110000,2,35,1284
60,9317,7,5,1993,1993,1775,3,7,1,234,0,7,2009,213000,3,264,1775
60,9337,6,5,1997,1997,1786,3,7,0,0,0,5,2007,204750,3,162,1786
20,9216,5,6,1975,1975,1076,3,5,1,0,0,9,2008,143195,2,0,1076
80,14112,5,7,1964,1964,1152,3,6,1,227,0,4,2010,180500,1,0,1152
20,7785,5,5,1956,1956,1014,2,6,0,0,0,3,2008,98000,1,240,1014
120,6289,6,5,2005,2006,1362,2,6,1,192,0,6,2007,207000,2,28,1362
20,13001,6,5,1971,1971,1220,2,6,1,0,0,9,2007,170000,2,249,1220
20,9600,6,5,1953,1953,1644,3,7,2,110,0,10,2009,167000,1,0,1644
160,1680,6,8,1972,2007,987,2,5,0,250,0,5,2009,118000,2,0,987
120,3010,7,5,2005,2006,1248,2,5,0,108,0,3,2006,167240,2,0,1248
20,13383,5,5,1969,2000,1404,3,7,1,0,0,3,2009,160000,2,16,1404
20,16321,5,6,1957,1997,1600,2,6,2,288,0,12,2006,207500,1,258,1600
60,16545,8,5,1998,1998,2450,3,7,1,0,0,5,2009,340000,3,126,2450
20,13891,10,5,2006,2006,2076,2,7,1,216,0,9,2006,465000,3,229,2076
20,11875,5,5,1999,1999,1344,3,7,1,328,0,6,2010,166500,2,0,1344
20,10200,6,5,1974,1974,1434,4,7,1,80,0,6,2009,157000,2,21,1434
90,6270,5,6,1949,1950,2002,4,8,0,0,0,8,2007,145000,2,0,2002
20,25095,5,8,1968,2003,1473,1,5,2,0,0,6,2009,143000,1,108,1473
60,8238,6,5,1997,1998,1525,3,6,1,421,0,5,2006,183500,3,72,1525
120,3907,8,5,1989,1989,1191,2,5,1,112,0,3,2010,162500,2,81,1191
120,3072,7,5,2004,2004,1414,2,6,1,144,0,5,2006,178740,2,20,1414
70,9900,6,4,1880,1950,2210,5,8,0,0,0,5,2007,117500,2,48,2210
20,8536,5,5,2006,2007,1125,2,5,0,80,0,4,2007,155000,2,64,1125
120,3842,8,5,2004,2005,1646,2,5,1,128,0,1,2008,275000,2,208,1646
20,32668,6,3,1957,1975,2515,4,9,2,0,0,3,2007,200624,3,200,2515
85,14137,4,5,1964,1964,1200,3,6,0,0,0,11,2008,173000,1,290,1200
20,8521,5,5,1967,1967,912,3,5,1,0,0,5,2010,125000,1,0,912
70,9670,8,6,1935,1950,1873,4,9,2,0,0,6,2008,257076,2,207,1873
20,14000,6,8,1950,2004,1152,3,6,1,0,0,8,2009,158500,1,36,1152
60,13262,8,5,2003,2004,2400,4,10,1,114,0,6,2009,290000,4,40,2400
50,6240,5,7,1930,1992,1573,3,8,1,0,0,6,2008,162900,2,0,1573
190,10106,5,7,1940,1999,1355,4,6,0,140,0,9,2008,127500,2,0,1355
20,10197,6,5,1961,1961,1362,3,6,1,0,0,6,2008,163000,2,20,1362
85,11782,5,7,1961,1995,1155,3,6,0,192,0,6,2010,148000,1,0,1155
20,10936,8,5,2006,2006,1504,3,7,0,144,0,9,2006,199000,2,0,1504
20,11616,5,5,1962,1962,1092,3,6,1,0,0,9,2009,139000,1,164,1092
20,8072,5,5,1994,1995,990,3,5,0,0,0,5,2009,138000,1,64,990
20,9600,5,7,1950,2007,1113,3,5,1,0,0,7,2009,147000,1,200,1113
20,3710,7,5,2007,2008,1246,2,5,1,100,0,3,2008,187687,2,24,1246
60,9375,7,5,1997,1997,2098,4,9,1,331,0,4,2010,240000,3,38,2098
160,3951,10,5,1998,1999,2393,2,7,1,0,0,2,2008,345000,3,184,2393
90,7200,4,6,1967,1967,2650,6,10,0,0,0,2,2010,160000,3,0,2650
90,12108,4,4,1955,1955,1440,4,8,0,0,0,9,2008,118000,2,0,1440
20,12085,8,5,2007,2007,1734,3,7,1,0,0,11,2007,318000,2,0,1734
